ROLE_PERM_ID,OBJ_ID,ROLE_ID,PERM_ID,ACTV_IND
OLE10854,OLE7064,OLE10081,OLE10230,Y
OLE10855,OLE7065,OLE10077,OLE10231,Y
OLE10856,OLE7066,OLE10078,OLE10231,Y
OLE10857,OLE7067,OLE10079,OLE10231,Y
OLE10858,OLE7068,OLE10080,OLE10231,Y
OLE10859,OLE7070,OLE10077,OLE10207,Y
OLE10860,OLE7071,OLE10078,OLE10207,Y
OLE10861,OLE7072,OLE10079,OLE10207,Y
OLE10862,OLE7073,OLE10080,OLE10207,Y
OLE10863,OLE7074,OLE10081,OLE10207,Y
OLE10864,OLE7075,OLE10077,OLE10233,Y
OLE10865,OLE7076,OLE10078,OLE10233,Y
OLE10866,OLE7077,OLE10079,OLE10233,Y
OLE10867,OLE7078,OLE10080,OLE10233,Y
OLE10868,OLE7079,OLE10081,OLE10233,Y
OLE10869,OLE7080,OLE10082,OLE10233,Y
OLE10870,OLE7081,OLE10077,OLE10234,Y
OLE10871,OLE7082,OLE10078,OLE10234,Y
OLE10872,OLE7083,OLE10079,OLE10234,Y
OLE10873,OLE7084,OLE10080,OLE10234,Y
OLE10874,OLE7085,OLE10081,OLE10234,Y
OLE10875,OLE7086,OLE10082,OLE10234,Y
OLE10876,OLE7090,OLE10077,OLE10235,Y
OLE10877,OLE7091,OLE10078,OLE10235,Y
OLE10878,OLE7092,OLE10079,OLE10235,Y
OLE10879,OLE7093,OLE10080,OLE10235,Y
OLE10880,OLE7094,OLE10081,OLE10235,Y
OLE10881,OLE7095,OLE10082,OLE10235,Y
OLE10882,OLE7096,OLE10077,OLE10236,Y
OLE10883,OLE7097,OLE10078,OLE10236,Y
OLE10884,OLE7098,OLE10079,OLE10236,Y
OLE10885,OLE7099,OLE10080,OLE10236,Y
OLE10886,OLE70100,OLE10082,OLE10236,Y
OLE10887,OLE70101,OLE10077,OLE10237,Y
OLE10888,OLE70102,OLE10078,OLE10237,Y
OLE10889,OLE70103,OLE10079,OLE10237,Y
OLE10890,OLE70104,OLE10080,OLE10237,Y
OLE10891,OLE70105,OLE10082,OLE10237,Y
OLE10892,OLE70106,OLE10077,OLE10238,Y
OLE10893,OLE70107,OLE10078,OLE10238,Y
OLE10894,OLE70108,OLE10079,OLE10238,Y
OLE10895,OLE70109,OLE10080,OLE10238,Y
OLE10896,OLE70110,OLE10081,OLE10238,Y
OLE10897,OLE70111,OLE10082,OLE10238,Y
OLE10898,OLE70112,OLE10083,OLE10238,Y
OLE10899,OLE70113,OLE10084,OLE10238,Y
OLE10900,OLE70114,OLE10077,OLE10239,Y
OLE10901,OLE70115,OLE10078,OLE10239,Y
OLE10902,OLE70116,OLE10079,OLE10239,Y
OLE10903,OLE70117,OLE10080,OLE10239,Y
OLE10904,OLE70118,OLE10082,OLE10239,Y
OLE10905,OLE70119,OLE10077,OLE10240,Y
OLE10906,OLE70120,OLE10078,OLE10240,Y
OLE10907,OLE70121,OLE10079,OLE10240,Y
OLE10908,OLE70122,OLE10082,OLE10240,Y
OLE10909,OLE70123,OLE10077,OLE10241,Y
OLE10910,OLE70124,OLE10078,OLE10241,Y
OLE10911,OLE70125,OLE10079,OLE10241,Y
OLE10912,OLE70126,OLE10080,OLE10241,Y
OLE10913,OLE70127,OLE10082,OLE10241,Y
OLE10914,OLE70128,OLE10077,OLE10242,Y
OLE10915,OLE70129,OLE10078,OLE10242,Y
OLE10916,OLE70130,OLE10079,OLE10242,Y
OLE10917,OLE70131,OLE10080,OLE10242,Y
OLE10918,OLE70132,OLE10082,OLE10242,Y
OLE10919,OLE70133,OLE10077,OLE10243,Y
OLE10920,OLE70134,OLE10078,OLE10243,Y
OLE10921,OLE70135,OLE10082,OLE10243,Y
OLE10922,OLE70136,OLE10083,OLE10243,Y
OLE10923,OLE70137,OLE10077,OLE10244,Y
OLE10924,OLE70138,OLE10078,OLE10244,Y
OLE10925,OLE70139,OLE10082,OLE10244,Y
OLE10926,OLE70140,OLE10083,OLE10244,Y
OLE10927,OLE70141,OLE10077,OLE10232,Y
OLE10928,OLE70142,OLE10078,OLE10232,Y
OLE10929,OLE70143,OLE10079,OLE10232,Y
OLE10930,OLE70144,OLE10080,OLE10232,Y
OLE10931,OLE70145,OLE10081,OLE10232,Y
OLE10932,OLE70146,OLE10082,OLE10232,Y
OLE12094,10090,OLE10064,OLE10269,Y
OLE12095,10091,OLE10065,OLE10269,Y
OLE12096,10092,OLE10066,OLE10269,Y
OLE12097,10093,OLE10067,OLE10269,Y
OLE12098,10094,OLE10068,OLE10269,Y
OLE12099,10095,OLE10064,OLE10270,Y
OLE12100,10096,OLE10065,OLE10270,Y
OLE12101,10097,OLE10066,OLE10270,Y
OLE12102,10098,OLE10067,OLE10270,Y
OLE12103,10099,OLE10068,OLE10270,Y
OLE12104,OLE70309,OLE10077,OLE10271,Y
OLE12105,OLE70310,OLE10078,OLE10271,Y
OLE12106,OLE70311,OLE10082,OLE10271,Y
OLE12107,OLE70312,OLE10083,OLE10271,Y
OLE9001,OLE9001,98,OLE9001,Y
OLE12109,OLE70313,OLE10082,OLE10228,Y
OLE12110,OLE70314,OLE10083,OLE10228,Y
OLE12111,OLE70315,OLE10084,OLE10228,Y
OLE12112,OLE70316,OLE10082,OLE10229,Y
OLE12113,OLE70317,OLE10082,OLE10230,Y
OLE12114,OLE70318,OLE10082,OLE10231,Y
OLE12115,OLE70319,OLE10082,OLE10207,Y
OLE12116,OLE70320,OLE10077,OLE10212,Y
OLE12117,OLE70321,OLE10078,OLE10212,Y
OLE12118,OLE70322,OLE10079,OLE10212,Y
OLE12119,OLE70323,OLE10080,OLE10212,Y
OLE12120,OLE70324,OLE10081,OLE10212,Y
OLE12121,OLE70325,OLE10082,OLE10212,Y
OLE12122,OLE70326,OLE10058,OLE10272,Y
OLE12123,OLE70327,OLE10077,OLE10273,Y
OLE12124,OLE70328,OLE10078,OLE10273,Y
OLE12125,OLE70329,OLE10079,OLE10273,Y
OLE12126,OLE70330,OLE10080,OLE10273,Y
OLE12128,OLE70332,OLE10082,OLE10273,Y
OLE12130,OLE70334,OLE10077,OLE10274,Y
OLE12131,OLE70335,OLE10078,OLE10274,Y
OLE12132,OLE70336,OLE10079,OLE10274,Y
OLE12133,OLE70337,OLE10080,OLE10274,Y
OLE12134,OLE70338,OLE10081,OLE10274,Y
OLE12135,OLE70339,OLE10082,OLE10274,Y
OLE12137,OLE70341,OLE10077,OLE10275,Y
OLE12138,OLE70342,OLE10078,OLE10275,Y
OLE12139,OLE70343,OLE10079,OLE10275,Y
OLE12140,OLE70344,OLE10080,OLE10275,Y
OLE12141,OLE70345,OLE10081,OLE10275,Y
OLE12142,OLE70346,OLE10082,OLE10275,Y
OLE12144,OLE70348,OLE10073,OLE10276,Y
OLE12145,OLE70349,OLE10074,OLE10276,Y
OLE12146,OLE70350,OLE10076,OLE10276,Y
OLE12147,OLE70351,OLE10075,OLE10277,Y
OLE12148,OLE70352,OLE10077,OLE10278,Y
OLE12149,OLE70353,OLE10078,OLE10278,Y
OLE12150,OLE70354,OLE10079,OLE10278,Y
OLE12151,OLE70355,OLE10080,OLE10278,Y
OLE12152,OLE70356,OLE10081,OLE10278,Y
OLE12153,OLE70357,OLE10082,OLE10278,Y
OLE12154,OLE70358,OLE10086,OLE10279,Y
OLE12156,OLE70360,OLE10027,OLE10280,Y
OLE12157,OLE70361,OLE10028,OLE10280,Y
OLE12158,OLE70362,OLE10029,OLE10280,Y
OLE12159,OLE70363,OLE10030,OLE10280,Y
OLE12160,OLE70364,OLE10027,OLE94,Y
OLE12161,OLE70365,OLE10028,OLE94,Y
OLE12162,OLE70366,OLE10029,OLE94,Y
OLE12163,OLE70367,OLE10030,OLE94,Y
OLE12164,OLE70368,OLE10040,OLE94,Y
OLE12165,OLE70369,OLE10041,OLE94,Y
OLE12166,OLE70370,OLE10042,OLE94,Y
OLE12167,OLE70371,OLE10043,OLE94,Y
OLE12168,OLE70372,OLE10028,OLE10122,Y
OLE12169,OLE70373,OLE10029,OLE10122,Y
OLE12170,OLE70374,OLE10027,OLE92,Y
OLE12171,OLE70375,OLE10028,OLE92,Y
OLE12172,OLE70376,OLE10029,OLE92,Y
OLE12173,OLE70377,OLE10030,OLE92,Y
OLE12174,OLE70378,OLE10027,OLE100,Y
OLE12175,OLE70379,OLE10028,OLE100,Y
OLE12176,OLE70380,OLE10029,OLE100,Y
OLE12177,OLE70381,OLE10030,OLE100,Y
OLE12178,OLE70382,OLE10027,OLE97,Y
OLE12179,OLE70383,OLE10028,OLE97,Y
OLE12180,OLE70384,OLE10029,OLE97,Y
OLE12181,OLE70385,OLE10030,OLE97,Y
OLE12182,OLE70386,OLE10040,OLE97,Y
OLE12183,OLE70387,OLE10041,OLE97,Y
OLE12184,OLE70388,OLE10042,OLE97,Y
OLE12185,OLE70389,OLE10043,OLE97,Y
OLE12186,OLE70390,OLE10027,OLE268,Y
OLE12187,OLE70391,OLE10028,OLE268,Y
OLE12188,OLE70392,OLE10029,OLE268,Y
OLE12189,OLE70393,OLE10030,OLE268,Y
OLE12190,OLE70394,OLE10040,OLE268,Y
OLE12191,OLE70395,OLE10041,OLE268,Y
OLE12192,OLE70396,OLE10042,OLE268,Y
OLE12193,OLE70397,OLE10043,OLE268,Y
OLE12194,OLE70398,OLE10033,OLE94,Y
OLE12195,OLE70399,OLE10034,OLE94,Y
OLE12196,OLE70400,OLE10037,OLE94,Y
OLE12197,OLE70401,OLE10038,OLE94,Y
OLE12198,OLE70402,OLE10033,OLE268,Y
OLE12199,OLE70403,OLE10034,OLE268,Y
OLE12200,OLE70404,OLE10037,OLE268,Y
OLE12201,OLE70405,OLE10038,OLE268,Y
OLE12202,OLE70406,OLE10027,OLE10067,Y
OLE12203,OLE70407,OLE10028,OLE10067,Y
OLE12204,OLE70408,OLE10029,OLE10067,Y
OLE12205,OLE70409,OLE10030,OLE10067,Y
OLE12206,OLE70410,OLE10033,OLE10067,Y
OLE12207,OLE70411,OLE10034,OLE10067,Y
OLE12208,OLE70412,OLE10037,OLE10067,Y
OLE12209,OLE70413,OLE10038,OLE10067,Y
OLE12210,OLE70414,OLE10040,OLE10067,Y
OLE12211,OLE70415,OLE10041,OLE10067,Y
OLE12212,OLE70416,OLE10042,OLE10067,Y
OLE12213,OLE70417,OLE10043,OLE10067,Y
OLE12214,OLE70418,OLE10036,OLE356,Y
OLE12215,OLE70419,OLE10037,OLE356,Y
OLE12216,OLE70420,OLE10038,OLE356,Y
OLE12217,OLE70421,OLE10036,OLE80161,Y
OLE12218,OLE70422,OLE10037,OLE80161,Y
OLE12219,OLE70423,OLE10038,OLE80161,Y
OLE12220,OLE70424,OLE10036,OLE10281,Y
OLE12221,OLE70425,OLE10037,OLE10281,Y
OLE12222,OLE70426,OLE10038,OLE10281,Y
OLE12223,OLE70427,OLE10086,OLE404,Y
OLE12229,OLE70433,OLE10036,OLE80158,Y
OLE12230,OLE70434,OLE10037,OLE80158,Y
OLE12231,OLE70435,OLE10038,OLE80158,Y
OLE12232,OLE70436,OLE10036,OLE80160,Y
OLE12233,OLE70437,OLE10037,OLE80160,Y
OLE12234,OLE70438,OLE10038,OLE80160,Y
OLE12235,OLE70439,OLE10073,OLE10282,Y
OLE12236,OLE70440,OLE10074,OLE10282,Y
OLE12237,OLE70441,OLE10076,OLE10282,Y
OLE12238,OLE70442,OLE10073,OLE10283,Y
OLE12239,OLE70443,OLE10074,OLE10283,Y
OLE12240,OLE70444,OLE10076,OLE10283,Y
OLE12241,OLE70445,OLE10073,OLE10284,Y
OLE12242,OLE70446,OLE10074,OLE10284,Y
OLE12243,OLE70447,OLE10076,OLE10284,Y
OLE12244,OLE70448,OLE10073,OLE10285,Y
OLE12245,OLE70449,OLE10074,OLE10285,Y
OLE12246,OLE70450,OLE10076,OLE10285,Y
OLE12247,OLE70451,OLE10073,OLE10286,Y
OLE12248,OLE70452,OLE10074,OLE10286,Y
OLE12249,OLE70453,OLE10076,OLE10286,Y
OLE12250,OLE70454,OLE10073,OLE10287,Y
OLE12251,OLE70455,OLE10074,OLE10287,Y
OLE12252,OLE70456,OLE10076,OLE10287,Y
OLE12253,OLE70457,OLE10073,OLE10288,Y
OLE12254,OLE70458,OLE10074,OLE10288,Y
OLE12255,OLE70459,OLE10076,OLE10288,Y
OLE12256,OLE70460,OLE10073,OLE10289,Y
OLE12257,OLE70461,OLE10074,OLE10289,Y
OLE12258,OLE70462,OLE10076,OLE10289,Y
OLE12259,OLE70463,OLE10073,OLE10290,Y
OLE12260,OLE70464,OLE10074,OLE10290,Y
OLE12261,OLE70465,OLE10076,OLE10290,Y
OLE12262,OLE70466,OLE10073,OLE10291,Y
OLE12263,OLE70467,OLE10074,OLE10291,Y
OLE12264,OLE70468,OLE10076,OLE10291,Y
OLE12265,OLE70469,OLE10073,OLE10292,Y
OLE12266,OLE70470,OLE10074,OLE10292,Y
OLE12267,OLE70471,OLE10076,OLE10292,Y
OLE12268,OLE70472,OLE10073,OLE10293,Y
OLE12269,OLE70473,OLE10074,OLE10293,Y
OLE12270,OLE70474,OLE10076,OLE10293,Y
OLE12271,OLE70475,OLE10077,OLE10294,Y
OLE12272,OLE70476,OLE10078,OLE10294,Y
OLE12273,OLE70477,OLE10079,OLE10294,Y
OLE12274,OLE70478,OLE10082,OLE10294,Y
OLE12275,OLE70479,OLE10073,OLE10224,Y
OLE12276,OLE70480,OLE10074,OLE10224,Y
OLE12277,OLE70481,OLE10076,OLE10224,Y
OLE12278,OLE70482,OLE10073,OLE10234,Y
OLE12279,OLE70483,OLE10074,OLE10234,Y
OLE12280,OLE70484,OLE10076,OLE10234,Y
OLE12281,OLE70485,OLE10077,OLE10295,Y
OLE12282,OLE70486,OLE10078,OLE10295,Y
OLE12283,OLE70487,OLE10079,OLE10295,Y
OLE12284,OLE70488,OLE10080,OLE10295,Y
OLE12285,OLE70489,OLE10081,OLE10295,Y
OLE12286,OLE70490,OLE10082,OLE10295,Y
OLE12287,OLE70491,OLE10083,OLE10295,Y
OLE12288,OLE70492,OLE10077,OLE10296,Y
OLE12289,OLE70493,OLE10078,OLE10296,Y
OLE12290,OLE70494,OLE10079,OLE10296,Y
OLE12291,OLE70495,OLE10080,OLE10296,Y
OLE12292,OLE70496,OLE10081,OLE10296,Y
OLE12293,OLE70497,OLE10082,OLE10296,Y
OLE12294,OLE70498,OLE10083,OLE10296,Y
OLE12296,OLE70500,OLE10073,OLE10298,Y
OLE12297,OLE70501,OLE10074,OLE10298,Y
OLE12298,OLE70502,OLE10076,OLE10298,Y
OLE12299,OLE70503,OLE10073,OLE10299,Y
OLE12300,OLE70504,OLE10074,OLE10299,Y
OLE12301,OLE70505,OLE10076,OLE10299,Y
OLE12302,OLE70506,OLE10073,OLE10300,Y
OLE12303,OLE70507,OLE10074,OLE10300,Y
OLE12304,OLE70508,OLE10076,OLE10300,Y
OLE12305,OLE70509,OLE10073,OLE10301,Y
OLE12306,OLE70510,OLE10074,OLE10301,Y
OLE12307,OLE70511,OLE10075,OLE10301,Y
OLE12308,OLE70512,OLE10076,OLE10301,Y
OLE12309,OLE70513,OLE10073,OLE10302,Y
OLE12310,OLE70514,OLE10074,OLE10302,Y
OLE12311,OLE70515,OLE10076,OLE10302,Y
OLE12312,OLE70516,OLE10073,OLE10303,Y
OLE12313,OLE70517,OLE10074,OLE10303,Y
OLE12314,OLE70518,OLE10076,OLE10303,Y
OLE12315,OLE70519,OLE10073,OLE10304,Y
OLE12316,OLE70520,OLE10074,OLE10304,Y
OLE12317,OLE70521,OLE10076,OLE10304,Y
OLE12318,OLE70522,OLE10073,OLE10305,Y
OLE12319,OLE70523,OLE10074,OLE10305,Y
OLE12320,OLE70524,OLE10076,OLE10305,Y
OLE12321,OLE70525,OLE10073,OLE10306,Y
OLE12322,OLE70526,OLE10074,OLE10306,Y
OLE12323,OLE70527,OLE10076,OLE10306,Y
OLE12324,OLE70528,OLE10073,OLE10307,Y
OLE12325,OLE70529,OLE10074,OLE10307,Y
OLE12326,OLE70530,OLE10076,OLE10307,Y
OLE12327,OLE70531,OLE10073,OLE10308,Y
OLE12328,OLE70532,OLE10074,OLE10308,Y
OLE12329,OLE70533,OLE10073,OLE10309,Y
OLE12330,OLE70534,OLE10074,OLE10309,Y
OLE12333,OLE70537,OLE10073,OLE10311,Y
OLE12334,OLE70538,OLE10074,OLE10311,Y
OLE12335,OLE70539,OLE10073,OLE10312,Y
OLE12336,OLE70540,OLE10074,OLE10312,Y
OLE12337,OLE70541,OLE10073,OLE10313,Y
OLE12338,OLE70542,OLE10074,OLE10313,Y
OLE12339,OLE70543,OLE10076,OLE10311,Y
OLE12340,OLE70544,OLE10076,OLE10312,Y
OLE12341,OLE70545,OLE10073,OLE10314,Y
OLE12342,OLE70546,OLE10074,OLE10314,Y
OLE12343,OLE70547,OLE10073,OLE10315,Y
OLE12344,OLE70548,OLE10074,OLE10315,Y
OLE12345,OLE70549,OLE10085,OLE10316,Y
OLE12346,OLE70550,OLE10085,OLE10317,Y
OLE12347,OLE70551,OLE10086,OLE10318,Y
OLE12348,OLE70552,OLE10086,OLE10319,Y
OLE12349,OLE70553,OLE10086,OLE10320,Y
OLE12350,OLE70554,OLE10086,OLE10321,Y
OLE12351,OLE70555,OLE10086,OLE10322,Y
OLE12352,OLE70556,OLE10086,OLE10323,Y
OLE12353,OLE70557,OLE10073,OLE10324,Y
OLE12354,OLE12354,OLE10074,OLE10324,Y
OLE12355,OLE12355,OLE10073,OLE10325,Y
OLE12356,OLE12356,OLE10074,OLE10325,Y
OLE12357,OLE12357,OLE10076,OLE10325,Y
OLE12358,OLE70558,OLE10068,OLE10327,Y
OLE12359,OLE70559,OLE10071,OLE10326,Y
OLE12360,OLE12360,OLE10071,OLE10327,Y
OLE12361,OLE12361,OLE10006,OLE10326,Y
OLE12362,OLE12362,OLE10006,OLE10327,Y
OLE12363,OLE12363,OLE10064,OLE10328,Y
OLE12364,OLE12364,OLE10065,OLE10328,Y
OLE12365,OLE12365,OLE10066,OLE10328,Y
OLE12366,OLE12366,OLE10067,OLE10328,Y
OLE12367,OLE12367,OLE10068,OLE10328,Y
OLE12368,OLE12308,OLE10064,OLE10329,Y
OLE12369,OLE12369,OLE10065,OLE10329,Y
OLE12370,OLE12370,OLE10066,OLE10329,Y
OLE12371,OLE12371,OLE10067,OLE10329,Y
OLE12372,OLE12372,OLE10068,OLE10329,Y
OLE12373,OLE70575,OLE44,OLE10330,Y
OLE12500,OLE12500,OLE10064,OLE10500,Y
OLE12501,OLE12501,OLE10065,OLE10500,Y
OLE12502,OLE12502,OLE10066,OLE10500,Y
OLE12503,OLE12503,OLE10067,OLE10500,Y
OLE12504,OLE12504,OLE10068,OLE10500,Y
OLE12505,OLE12505,OLE44,OLE10501,Y
OLE10800,OLE10800,OLE10076,OLE10502,Y
OLE10801,OLE10801,OLE10076,OLE10503,Y
OLE10802,OLE10802,OLE10074,OLE10504,Y
OLE10803,OLE10803,OLE10074,OLE10505,Y
OLE10804,OLE10804,OLE10073,OLE10502,Y
OLE10805,OLE10805,OLE10073,OLE10503,Y
OLE10806,OLE10806,OLE10073,OLE10504,Y
OLE10807,OLE10807,OLE10073,OLE10505,Y
OLE10808,OLE10808,OLE10073,OLE10506,Y
OLE12506,OLE12506,OLE10077,OLE3010502,Y
OLE12507,OLE12507,OLE10078,OLE3010502,Y
OLE12508,OLE12508,OLE10079,OLE3010502,Y
OLE12509,OLE12509,OLE10080,OLE3010502,Y
OLE12510,OLE12510,OLE10082,OLE3010502,Y
